id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
9756,Virtue Poker,VPP,virtue-poker,1284,1,2021-05-28T20:18:07.000Z,2021-08-12T21:48:05.000Z
9757,WeStarter,WAR,westarter,3066,1,2021-05-13T04:35:07.000Z,2021-08-12T21:50:05.000Z
9757,WeStarter,WAR,westarter,3066,1,2021-05-13T04:35:07.000Z,2021-08-12T21:50:05.000Z
9757,WeStarter,WAR,westarter,3066,1,2021-05-13T04:35:07.000Z,2021-08-12T21:50:05.000Z
9757,WeStarter,WAR,westarter,3066,1,2021-05-13T04:35:07.000Z,2021-08-12T21:50:05.000Z
9757,WeStarter,WAR,westarter,3066,1,2021-05-13T04:35:07.000Z,2021-08-12T21:50:05.000Z
9758,SuperNova,SHARE,supernova,4391,1,2021-08-03T19:39:18.000Z,2021-08-12T21:49:05.000Z
9758,SuperNova,SHARE,supernova,4391,1,2021-08-03T19:39:18.000Z,2021-08-12T21:49:05.000Z
9758,SuperNova,SHARE,supernova,4391,1,2021-08-03T19:39:18.000Z,2021-08-12T21:49:05.000Z
9758,SuperNova,SHARE,supernova,4391,1,2021-08-03T19:39:18.000Z,2021-08-12T21:49:05.000Z
9758,SuperNova,SHARE,supernova,4391,1,2021-08-03T19:39:18.000Z,2021-08-12T21:49:05.000Z
9759,BSC Gold,BSCGOLD,bsc-gold,3771,1,2021-05-26T21:57:06.000Z,2021-08-12T21:47:05.000Z
9759,BSC Gold,BSCGOLD,bsc-gold,3771,1,2021-05-26T21:57:06.000Z,2021-08-12T21:47:05.000Z
9759,BSC Gold,BSCGOLD,bsc-gold,3771,1,2021-05-26T21:57:06.000Z,2021-08-12T21:47:05.000Z
9759,BSC Gold,BSCGOLD,bsc-gold,3771,1,2021-05-26T21:57:06.000Z,2021-08-12T21:47:05.000Z
9759,BSC Gold,BSCGOLD,bsc-gold,3771,1,2021-05-26T21:57:06.000Z,2021-08-12T21:47:05.000Z
9760,Stratos,STOS,stratos,3098,1,2021-06-11T16:12:07.000Z,2021-08-12T21:47:05.000Z
9760,Stratos,STOS,stratos,3098,1,2021-06-11T16:12:07.000Z,2021-08-12T21:47:05.000Z
